"","X","id","data","n","model","acquisition","logloss","par1","par2","tau","beta","predloss"
"1",1,1,"discrete",10,"MEB","UCB",12.0071932843212,163929.753761048,NA,0.659859476413178,0.00673847837406537,0.366006851557613
"2",1,1,"discrete",10,"KAL","UCB",12.0072566792247,163940.146401391,0.0146124634974338,0.6579058312388,0.00674164428734832,0.37314107452977
"3",1,1,"discrete",10,"LIN","UCB",7.73703687052312,NA,NA,2.96146527381194,0.425137437558325,0.348560588029411
"4",1,1,"discrete",10,"GP","UCB",7.00361321123588,1100.6026927425,13.881025934628,120.563602871755,6.40172829744228,0.499999999858303
"5",1,1,"discrete",10,"MEB","Thompon",10.9866488347891,59080.0648783695,NA,1.64401656043603,NA,0.404241605184043
"6",1,1,"discrete",10,"KAL","Thompon",11.0298329745793,61687.2765931653,0.0926229532894568,1.34942011560929,NA,0.301199366920821
"7",1,1,"discrete",10,"LIN","Thompon",7.90006402962427,NA,NA,1.99113580449351,NA,0
"8",1,1,"discrete",10,"GP","Thompon",2.73120400077204,15.3513589455918,0.0358480666614405,129.211400663248,NA,0
"9",1,1,"discrete",10,"MEB","ProbOfImp",12.4766493444184,262144.024730514,NA,0.00673809231348553,NA,9.13698205984304e-08
"10",1,1,"discrete",10,"KAL","ProbOfImp",12.4766493373606,262144.022880355,144.630621004161,0.00673940709939601,NA,8.4534191646668e-08
"11",1,1,"discrete",30,"MEB","UCB",38.9053261543041,78771382085198992,NA,0.751667822960245,0.00673851045994803,0
"12",1,1,"discrete",30,"KAL","UCB",38.9054168583324,78778527290910848,0.0135927200823591,0.753114782434451,0.00674824880145509,0
"13",1,1,"discrete",30,"GP","UCB",39.6116562215793,159633382498523680,73.0676904197545,7.57551291315429,36.7167678271127,0.0493249744945427
"14",1,1,"discrete",30,"MEB","Thompon",37.9878205049602,31470295787077436,NA,4.58926837870371,NA,0
"15",1,1,"discrete",30,"KAL","Thompon",37.3552115567035,16717150388017944,0.109549727277884,4.37219228607349,NA,0.131443584626313
"16",1,1,"discrete",30,"LIN","Thompon",38.8582182648265,NA,NA,0.846663993469379,NA,0
"17",1,1,"discrete",30,"GP","Thompon",37.768478711177,25272132748263780,5.03442485244622,7.28607122629668,NA,0.125927215842017
"18",1,1,"discrete",30,"MEB","ProbOfImp",40.0553541768015,248782191788565920,NA,0.381462057355401,NA,0.0439334843816738
"19",1,1,"discrete",30,"KAL","ProbOfImp",40.0486584433017,247121976913715744,142.802361127716,0.38828069249764,NA,0.0433716226553974
"20",1,1,"discrete",30,"LIN","ProbOfImp",39.5619889014032,NA,NA,0.564654100512649,NA,0
"21",1,1,"discrete",30,"GP","ProbOfImp",39.0921967889605,94956642629696576,148.410840871046,1.65369664721864,NA,0
"22",1,1,"discrete",30,"MEB","ExpectedImp",40.1294963915077,267928457861826912,NA,1.79505813002411,NA,0.0303788999559683
"23",1,1,"discrete",30,"KAL","ExpectedImp",40.1191806974316,265178796571950816,3.40019722279281,1.03759917185903,NA,0.0357230370206029
"24",1,1,"discrete",30,"LIN","ExpectedImp",37.0117530411589,NA,NA,1.81182011445522,NA,0
"25",1,1,"discrete",30,"GP","ExpectedImp",39.0088400072241,87362280153434368,148.40546775927,1.74146170145985,NA,0
"26",1,1,"discrete",50,"MEB","UCB",67.425616764958,1.9167845491048e+29,NA,0.320183127097311,0.00673913404457419,0
"27",1,1,"discrete",50,"KAL","UCB",67.4256387324462,1.91682665650933e+29,0.0341233332013991,0.32518502844498,0.00674232866655815,0.5
"28",1,1,"discrete",50,"GP","UCB",66.9458256185352,1.18632218641734e+29,0.0541901472336453,21.1994195467753,0.0234840910290643,0
"29",1,1,"discrete",50,"MEB","Thompon",64.8816958097594,1.50578326687884e+28,NA,7.39764553364255,NA,0
"30",1,1,"discrete",50,"KAL","Thompon",66.8414309621637,1.06872170422175e+29,0.0756139277937639,1.98069608494695,NA,0.0683295677494009
"31",1,1,"discrete",50,"GP","Thompon",63.282392071057,3.04224144211095e+27,0.00982064167801246,6.38349095844988,NA,0
"32",1,1,"discrete",50,"MEB","ProbOfImp",67.6645476303405,2.43410694974874e+29,NA,0.45139021347647,NA,0.0547055360975229
"33",1,1,"discrete",50,"LIN","ProbOfImp",66.4649446018672,NA,NA,1.2458675423563,NA,0
"34",1,1,"discrete",50,"GP","ProbOfImp",66.5633220369752,8.09251397028598e+28,148.410292721247,1.69515330361062,NA,0
"35",1,1,"discrete",50,"KAL","ExpectedImp",67.6123597716361,2.31033393527007e+29,4.13553216984123,1.44641052462126,NA,0.0469601973395743
"36",1,1,"discrete",50,"GP","ExpectedImp",66.1094909676979,5.14028416965829e+28,3.95253806150679,1.31465907978256,NA,0
"37",1,1,"discrete",70,"MEB","UCB",94.4588793608806,1.05431424213304e+41,NA,0.433865187715798,0.00673803263728223,0.182407613760898
